firstName,lastName,linkedinUrl,company,ycBatch
Gavin,Saldanha,https://www.linkedin.com/in/gavin-v-saldanha?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABAsp9IB1RTNMRFHwh95Sdbbu-poL1Afw0o,Lightscreen AI,YC F24
Usama,"Syed, MD",https://www.linkedin.com/in/usama-syed-md-419b0078?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABCJhlUB0VPtUTFJCpm-3hHGYsjx_HZP-LM,FutureClinic (YC F24),YC F24
Huzaifa,Sial,https://www.linkedin.com/in/hsial?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAOCdGwBShNODGgkVdxdhKkalbgvM1Z6GTs,Helpcare AI (YC F24),YC F24
John,Espinosa,https://www.linkedin.com/in/johnespinosa1988?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAxHjI8BhVEq5xwujodub21eGodw00XQQ90,Luthor (YC F24),YC F24
Brooke,Hopkins,https://www.linkedin.com/in/bnhop?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABT_yRABlfmpjqxtT6fQWWp2kB6bbaRPy5k,Coval,YC S24
Filip,Kozera,https://www.linkedin.com/in/filipkozera?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABZFE6EBCpm81gFU7fCi-TouYNvRwGIHhz4,wordware,YC S24
Vedant,Nair,https://www.linkedin.com/in/vedantnair?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADByAO0BM0DTUmhOjMK2fcVrsS1GBMDcafc,Miru (YC S24),YC S24
Rithwik,Pattikonda,https://www.linkedin.com/in/rithwikpattikonda?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACE7Y7QBJ1tIWQKeqXsBkE40wzHI81hsBIc,TravelArrow / Roger (YC S24),YC S24
Liam,Collins,https://www.linkedin.com/in/liam-collins-?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAB3ormgBF7TVi9jw37y_EF2IRzoFTF54wF4,Proxis (YC S24),YC S24
Abhishek,Ray,https://www.linkedin.com/in/abhishekray00?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAlypE4BszI5gRppvOAlVqlxqrkdejmRXb8,Opslane (YC S24),YC S24
Caitlin,Leksana,https://www.linkedin.com/in/caitlinleksana?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABBbN18BoX6SpCszNR6-i8zdTWKGmLCPUig,Fazeshift (YC S24),YC S24
Nikhil,Sonti,https://www.linkedin.com/in/nikhil-sv?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAEV5DMQBxyFAdnrFCxHRQ-tBN7tLZH_Bo_g,"Ex-Meta, Microsoft",YC S24
Nithin,Venkat Sonti,https://www.linkedin.com/in/nithinsonti?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAVUzRoB0pi5GpKCPeX03LvTI36vCG3Vjxc,"Ex-Google/Youtube, CMU",YC S24
Arko,C.,https://www.linkedin.com/in/arkoc?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAC8ZhsIBSyEv0umgzUOJY0uiwj7OxbbW4f8,YC S24,YC S24
Rachid,Flih,https://www.linkedin.com/in/rflih?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABu-TeMBnbFDD52oC2tmUgUu63Mz-B2lxWw,"Automating PO entry into ERPs for distributors, wholesalers & manufacturers",YC S24
Mufeed,VH,https://www.linkedin.com/in/mufeed-vh?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAEizM6UBaJGZkvvFjOmCB6w4h8j3tlgRkRU,,YC S24
Yus,Hilmi,https://www.linkedin.com/in/yusufhilmi?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACODdq8B6n_wkg4hsmQwcAI8vJQTNvBKfb4,,YC S24
Enrique,Ferrao,https://www.linkedin.com/in/enrique-ferrao?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACnYGAIBfbf9Fhq3Eu44g1wmrFv6CP7dTa8,Pipeshift (YC S24),YC S24
David,Chu,https://www.linkedin.com/in/dchu17?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAC4gufkB-m6NhBminFQVIrVqXTVWrFviUwU,Nerve (YC S24),YC S24
Robert,Chandler,https://www.linkedin.com/in/robertjhchandler?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABW0C8IBE2bCijXhloIWSkhHmRB006q0REo,wordware,YC S24
Zai,Shi,https://www.linkedin.com/in/zaishi?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADd5ep0B0HT5zfPODZPNNP9lJgwPRoNcWOs,Stack (YC S24),YC S24
Taranjeet,Singh,https://www.linkedin.com/in/taranjeet7114?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAw4hdMBi95QLeBHFLqIK80UVh1OC5LCDIU,,YC S24
Rohan,Sood,https://www.linkedin.com/in/rohansood3107?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAP0eO0BLQw1_ymDKFQ77jR_tC6Al47Prks,Patched (YC S24),YC S24
